Часы;1.15;1.20;1.25;1.30;1.35;1.40;1.45;1.50;1.60;1.70;1.80;2.0;2.5;
0-1;3.6;3.5;3.35;3.2;3.0;2.5;2.0;1.5;1.25;1.0;0.9;0.75;0.6;
1-2;3.6;3.45;3.25;3.25;3.2;2.65;2.1;1.5;1.25;1.0;0.9;0.75;0.6;
2-3;3.6;3.45;3.3;2.9;2.5;2.2;1.85;1.5;1.25;1.0;0.9;1.0;1.2;
3-4;3.6;3.4;3.2;2.9;2.6;2.25;1.9;1.5;1.25;1.0;1.0;1.0;2.0;
4-5;3.6;3.4;3.25;3.35;3.5;3.2;2.85;2.5;2.25;2.0;1.35;3.0;3.5;
5-6;3.7;3.55;3.4;3.75;4.1;3.9;3.7;3.5;3.25;3.0;3.85;5.5;3.5;
6-7;4.1;4.0;3.85;4.15;4.5;4.5;4.6;4.5;4.8;5.0;5.2;5.5;4.5;
7-8;4.3;4.4;4.45;4.65;4.9;5.1;5.3;5.5;6.0;6.5;6.2;5.5;10.2;
8-9;4.8;5.0;5.2;5.05;4.9;5.35;5.8;6.25;6.6;6.5;5.5;3.5;8.8;
9-10;4.7;4.8;5.05;5.4;5.6;5.85;6.05;6.25;5.6;5.5;5.85;3.5;6.5;
10-11;4.6;4.7;4.85;4.85;4.9;5.35;5.8;6.25;5.4;4.5;5.0;6.0;4.1;
11-12;4.5;4.55;4.6;4.6;4.7;5.25;5.7;6.25;5.85;5.5;6.5;8.5;4.1;
12-13;4.5;4.55;4.6;4.5;4.4;4.6;4.8;5.0;6.0;7.0;7.5;8.5;3.5;
13-14;4.4;4.45;4.55;4.3;4.1;4.4;4.7;5.0;6.0;7.0;6.7;6.0;3.5;
14-15;4.5;4.6;4.75;4.4;4.1;4.6;5.05;5.5;5.5;5.5;5.35;5.0;4.7;
15-16;4.5;4.6;4.7;4.55;4.4;4.6;5.3;6.0;5.25;4.5;4.65;5.0;6.2;
16-17;4.5;4.6;4.65;4.5;4.3;4.9;5.45;6.0;5.5;5.0;4.5;3.5;10.4;
17-18;4.2;4.3;4.35;4.25;4.1;4.6;5.05;5.5;6.0;6.5;5.5;3.5;9.4;
18-19;4.3;4.35;4.4;4.45;4.5;4.7;4.85;5.0;5.75;6.5;6.3;6.0;7.3;
19-20;4.2;4.25;4.3;4.4;4.5;4.5;4.6;4.5;4.75;5.0;5.35;6.0;1.6;
20-21;4.2;4.25;4.3;4.4;4.5;4.4;4.0;4.0;4.25;4.5;5.0;6.0;1.6;
21-22;4.1;4.15;4.2;4.5;4.8;4.2;3.6;3.0;3.0;3.0;3.0;3.0;1.0;
22-23;4.0;3.9;3.75;4.2;4.6;3.7;2.85;1.8;2.0;2.0;2.0;2.0;0.6;
23-24;3.9;3.8;3.7;3.5;3.3;2.7;2.1;1.7;1.25;1.0;1.0;1.0;0.6;